k=7 : a=56, b=180, c=124, length = 720, b == a+c - True, <lcm - True
k=7 : a=61, b=180, c=119, length = 720, b == a+c - True, <lcm - True
k=7 : a=63, b=180, c=117, length = 720, b == a+c - True, <lcm - True
k=7 : a=68, b=180, c=112, length = 720, b == a+c - True, <lcm - True
k=7 : a=70, b=180, c=110, length = 720, b == a+c - True, <lcm - True
k=7 : a=75, b=180, c=105, length = 720, b == a+c - True, <lcm - True
k=7 : a=77, b=180, c=103, length = 720, b == a+c - True, <lcm - True
k=7 : a=82, b=180, c=98, length = 720, b == a+c - True, <lcm - True
k=7 : a=84, b=180, c=96, length = 720, b == a+c - True, <lcm - True
k=7 : a=89, b=180, c=91, length = 720, b == a+c - True, <lcm - True
